n,m_s,out_degree,in_degree,type,hub,description,key,document_type
77,0,0,76,Sink,Sec. 7805 TITLE 26-INTERNAL REVENUE CODE,,260_1998_060358,statute
76,0,0,75,Sink,Sec. 5201 TITLE 26-INTERNAL REVENUE CODE,,260_1998_047749,statute
76,0,3,72,Sink,§ 601.601 Rules and regulations. Title 26,,cfr26v19_1998_001042,regulation
75,0,74,0,Source,§ 200.800 OMB control numbers assigned pursuant to the Paperwork Reduction Act. Title 17,,cfr17v2_1998_001726,regulation
75,0,0,74,Sink,Sec. 601 TITLE 7-AGRICULTURE,,070_1998_004252,statute
75,2,3,74,Sink,Sec. 3507 TITLE 44-PUBLIC PRINTING AND DOCUMENTS,,440_1998_001200,statute
75,0,74,0,Source,§ 27.3 Penalty Adjustment Table. Title 33,,cfr33v1_1998_001691,regulation
74,0,0,73,Sink,Sec. 41 TITLE 15-COMMERCE AND TRADE,,150_1998_000346,statute
72,0,1,70,Sink,Sec. 1681 TITLE 20-EDUCATION,,200_1998_013308,statute
72,0,0,71,Sink,Sec. 470 TITLE 16-CONSERVATION,,160_1998_010087,statute
72,0,71,0,Source,"§ 2.43 Administrator, Foreign Agricultural Service. Title 7",,cfr7v1_1998_003281,regulation
71,1,2,69,Sink,Sec. 78m TITLE 15-COMMERCE AND TRADE,,150_1998_002645,statute
71,0,10,60,Hinge,Sec. 1331 TITLE 43-PUBLIC LANDS,,430_1998_002276,statute
71,0,0,70,Sink,Sec. 450 TITLE 25-INDIANS,,250_1998_000703,statute
70,0,0,69,Sink,Sec. 6901 TITLE 42-THE PUBLIC HEALTH AND WELFARE,,420_1998_067383,statute
70,0,69,0,Source,§ 25.5 OMB control numbers assigned under the Paperwork Reduction Act. Title 27,,cfr27v1_1998_013130,regulation
70,0,0,69,Sink,Sec. 4601 TITLE 42-THE PUBLIC HEALTH AND WELFARE,,420_1998_056615,statute
68,0,0,67,Sink,Sec. 301 TITLE 42-THE PUBLIC HEALTH AND WELFARE,,420_1998_017501,statute
